# Neutrino-Ar40 nc cross section (10^-38 cm^2/GeV, natural abundance) # 
# log(energy in GeV)  nu_e      nu_mu      nu_tau      nu_e_bar      nu_mu_bar    nu_tau_bar # 

-1.572466e+00   7.325095e-01   7.325095e-01   7.325095e-01   7.325095e-01   7.325095e-01   7.325095e-01
-1.5709616e+00   7.390955e-01   7.390955e-01   7.390955e-01   7.390955e-01   7.390955e-01   7.390955e-01
-1.5694624e+00   7.456816e-01   7.456816e-01   7.456816e-01   7.456816e-01   7.456816e-01   7.456816e-01
-1.5679684e+00   7.522676e-01   7.522676e-01   7.522676e-01   7.522676e-01   7.522676e-01   7.522676e-01
-1.5664794e+00   7.588537e-01   7.588537e-01   7.588537e-01   7.588537e-01   7.588537e-01   7.588537e-01
-1.5649956e+00   7.654397e-01   7.654397e-01   7.654397e-01   7.654397e-01   7.654397e-01   7.654397e-01
-1.5635169e+00   7.7202576e-01   7.7202576e-01   7.7202576e-01   7.7202576e-01   7.7202576e-01   7.7202576e-01
-1.5620432e+00   7.7903986e-01   7.7903986e-01   7.7903986e-01   7.7903986e-01   7.7903986e-01   7.7903986e-01
-1.5605744e+00   7.868602e-01   7.868602e-01   7.868602e-01   7.868602e-01   7.868602e-01   7.868602e-01
-1.5591105e+00   7.946806e-01   7.946806e-01   7.946806e-01   7.946806e-01   7.946806e-01   7.946806e-01
